episode,survival_steps,total_reward,epsilon
1,14,-1.389634490512572,0.539
2,14,-1.8017522299048139,0.528
3,15,-0.7577213586547575,0.517
4,9,-6.146632980335162,0.5060000000000001
5,11,-4.9400120107409755,0.49500000000000005
6,16,-0.45733565004832144,0.48400000000000004
7,14,-1.8043073621147645,0.47300000000000003
8,10,-5.196426161796066,0.462
9,11,-3.8021541940481978,0.45100000000000007
10,7,-7.776467002624525,0.44000000000000006
11,24,8.035592527408223,0.42900000000000005
12,17,0.8971844781613676,0.41800000000000004
13,16,-0.923316345213367,0.40700000000000003
14,13,-2.296562348689937,0.396
15,17,0.8901991356590173,0.385
16,23,6.88911688184719,0.374
17,31,11.132864171514637,0.363
18,10,-5.99631360440287,0.35200000000000004
19,33,13.424317007780491,0.341
20,19,3.209250747693467,0.33
21,8,-7.114197862109551,0.31900000000000006
22,15,-1.9195319189310442,0.30800000000000005
23,7,-7.19226045763616,0.29700000000000004
24,6,-8.393604447758673,0.28600000000000003
25,11,-5.4171708071560944,0.275
26,19,2.9540387160642236,0.264
27,44,21.173412408173874,0.253
28,16,-0.6283896251453207,0.242
29,23,5.4589147122114845,0.23100000000000004
30,16,-1.5918373262754368,0.22000000000000003
31,8,-7.246035685245452,0.20900000000000002
32,30,11.730809791672861,0.198
33,18,-0.6052317044886291,0.187
34,13,-4.614748972282207,0.176
35,23,5.464950195062457,0.16500000000000004
36,12,-3.1181186796356357,0.15400000000000003
37,25,7.694102794931332,0.14300000000000002
38,27,7.977606493122572,0.132
39,14,-2.4388448497006614,0.121
40,9,-6.013009555994919,0.10999999999999999
41,9,-5.865992550159843,0.09900000000000003
42,18,1.9900655820012787,0.08800000000000002
43,18,0.8800871406304296,0.07700000000000001
44,17,1.0004905656879313,0.066
45,21,4.651469650895084,0.05499999999999999
46,23,6.377252601035739,0.05
47,20,3.831731140019757,0.05
48,8,-7.419778886190431,0.05
49,11,-4.642097865452007,0.05
50,12,-3.2981625813232895,0.05
